Object ID,Object URL
137,https://www.metmuseum.org/art/collection/search/2434
138,https://www.metmuseum.org/art/collection/search/2435
139,https://www.metmuseum.org/art/collection/search/2436
140,https://www.metmuseum.org/art/collection/search/2437
141,https://www.metmuseum.org/art/collection/search/2441
142,https://www.metmuseum.org/art/collection/search/2451
143,https://www.metmuseum.org/art/collection/search/2452
144,https://www.metmuseum.org/art/collection/search/2454
145,https://www.metmuseum.org/art/collection/search/2455
146,https://www.metmuseum.org/art/collection/search/2456
147,https://www.metmuseum.org/art/collection/search/2457
148,https://www.metmuseum.org/art/collection/search/2458
149,https://www.metmuseum.org/art/collection/search/2459
150,https://www.metmuseum.org/art/collection/search/2460
151,https://www.metmuseum.org/art/collection/search/2461
152,https://www.metmuseum.org/art/collection/search/2462
153,https://www.metmuseum.org/art/collection/search/2463
154,https://www.metmuseum.org/art/collection/search/2464
155,https://www.metmuseum.org/art/collection/search/2465
156,https://www.metmuseum.org/art/collection/search/2475
157,https://www.metmuseum.org/art/collection/search/2476
158,https://www.metmuseum.org/art/collection/search/2487
159,https://www.metmuseum.org/art/collection/search/2492
160,https://www.metmuseum.org/art/collection/search/2503
161,https://www.metmuseum.org/art/collection/search/2526
162,https://www.metmuseum.org/art/collection/search/2542
163,https://www.metmuseum.org/art/collection/search/2546
164,https://www.metmuseum.org/art/collection/search/2548
165,https://www.metmuseum.org/art/collection/search/2549
166,https://www.metmuseum.org/art/collection/search/2552
167,https://www.metmuseum.org/art/collection/search/2553
168,https://www.metmuseum.org/art/collection/search/2554
169,https://www.metmuseum.org/art/collection/search/2555
170,https://www.metmuseum.org/art/collection/search/2556
171,https://www.metmuseum.org/art/collection/search/2557
172,https://www.metmuseum.org/art/collection/search/2558
173,https://www.metmuseum.org/art/collection/search/2559
174,https://www.metmuseum.org/art/collection/search/2560
175,https://www.metmuseum.org/art/collection/search/2561
176,https://www.metmuseum.org/art/collection/search/2571
177,https://www.metmuseum.org/art/collection/search/2572
178,https://www.metmuseum.org/art/collection/search/2611
179,https://www.metmuseum.org/art/collection/search/2612
180,https://www.metmuseum.org/art/collection/search/2613
181,https://www.metmuseum.org/art/collection/search/2635
182,https://www.metmuseum.org/art/collection/search/2711
183,https://www.metmuseum.org/art/collection/search/2712
184,https://www.metmuseum.org/art/collection/search/2736
185,https://www.metmuseum.org/art/collection/search/2737
186,https://www.metmuseum.org/art/collection/search/2765
187,https://www.metmuseum.org/art/collection/search/2770
188,https://www.metmuseum.org/art/collection/search/2771
189,https://www.metmuseum.org/art/collection/search/2772
190,https://www.metmuseum.org/art/collection/search/2776
191,https://www.metmuseum.org/art/collection/search/2777
192,https://www.metmuseum.org/art/collection/search/2783
193,https://www.metmuseum.org/art/collection/search/2798
194,https://www.metmuseum.org/art/collection/search/2799
195,https://www.metmuseum.org/art/collection/search/2800
196,https://www.metmuseum.org/art/collection/search/2821
197,https://www.metmuseum.org/art/collection/search/2822
198,https://www.metmuseum.org/art/collection/search/2823
199,https://www.metmuseum.org/art/collection/search/2824
200,https://www.metmuseum.org/art/collection/search/2825
201,https://www.metmuseum.org/art/collection/search/2826
202,https://www.metmuseum.org/art/collection/search/2833
203,https://www.metmuseum.org/art/collection/search/2834
204,https://www.metmuseum.org/art/collection/search/2835
205,https://www.metmuseum.org/art/collection/search/2836
206,https://www.metmuseum.org/art/collection/search/2837
207,https://www.metmuseum.org/art/collection/search/2838
208,https://www.metmuseum.org/art/collection/search/2839
209,https://www.metmuseum.org/art/collection/search/2840
210,https://www.metmuseum.org/art/collection/search/2841
211,https://www.metmuseum.org/art/collection/search/2842
212,https://www.metmuseum.org/art/collection/search/2843
213,https://www.metmuseum.org/art/collection/search/2844
214,https://www.metmuseum.org/art/collection/search/2845
215,https://www.metmuseum.org/art/collection/search/2856
216,https://www.metmuseum.org/art/collection/search/2857
217,https://www.metmuseum.org/art/collection/search/2861
218,https://www.metmuseum.org/art/collection/search/2862
219,https://www.metmuseum.org/art/collection/search/2863
220,https://www.metmuseum.org/art/collection/search/2864
221,https://www.metmuseum.org/art/collection/search/2865
222,https://www.metmuseum.org/art/collection/search/2866
223,https://www.metmuseum.org/art/collection/search/2868
224,https://www.metmuseum.org/art/collection/search/2869
225,https://www.metmuseum.org/art/collection/search/2870
226,https://www.metmuseum.org/art/collection/search/2871
227,https://www.metmuseum.org/art/collection/search/2872
228,https://www.metmuseum.org/art/collection/search/2873
229,https://www.metmuseum.org/art/collection/search/2874
230,https://www.metmuseum.org/art/collection/search/2875
231,https://www.metmuseum.org/art/collection/search/2876
232,https://www.metmuseum.org/art/collection/search/2877
233,https://www.metmuseum.org/art/collection/search/2878
234,https://www.metmuseum.org/art/collection/search/2879
235,https://www.metmuseum.org/art/collection/search/2880
236,https://www.metmuseum.org/art/collection/search/2881
237,https://www.metmuseum.org/art/collection/search/2882
238,https://www.metmuseum.org/art/collection/search/2883
239,https://www.metmuseum.org/art/collection/search/2884
240,https://www.metmuseum.org/art/collection/search/2885
241,https://www.metmuseum.org/art/collection/search/2886
242,https://www.metmuseum.org/art/collection/search/2887
243,https://www.metmuseum.org/art/collection/search/2888
244,https://www.metmuseum.org/art/collection/search/2889
245,https://www.metmuseum.org/art/collection/search/2890
246,https://www.metmuseum.org/art/collection/search/2891
247,https://www.metmuseum.org/art/collection/search/2892
248,https://www.metmuseum.org/art/collection/search/2893
249,https://www.metmuseum.org/art/collection/search/2894
250,https://www.metmuseum.org/art/collection/search/2895
251,https://www.metmuseum.org/art/collection/search/2896
252,https://www.metmuseum.org/art/collection/search/2897
253,https://www.metmuseum.org/art/collection/search/2898
254,https://www.metmuseum.org/art/collection/search/2899
255,https://www.metmuseum.org/art/collection/search/2900
256,https://www.metmuseum.org/art/collection/search/2901
257,https://www.metmuseum.org/art/collection/search/3033
258,https://www.metmuseum.org/art/collection/search/3034
259,https://www.metmuseum.org/art/collection/search/3035
260,https://www.metmuseum.org/art/collection/search/3036
261,https://www.metmuseum.org/art/collection/search/3037
262,https://www.metmuseum.org/art/collection/search/3038
263,https://www.metmuseum.org/art/collection/search/3039
264,https://www.metmuseum.org/art/collection/search/3040
265,https://www.metmuseum.org/art/collection/search/3041
266,https://www.metmuseum.org/art/collection/search/3042
267,https://www.metmuseum.org/art/collection/search/3043
268,https://www.metmuseum.org/art/collection/search/3044
269,https://www.metmuseum.org/art/collection/search/3045
270,https://www.metmuseum.org/art/collection/search/3046
271,https://www.metmuseum.org/art/collection/search/3102
272,https://www.metmuseum.org/art/collection/search/3103
273,https://www.metmuseum.org/art/collection/search/3104
274,https://www.metmuseum.org/art/collection/search/3105
